EP_train_inference:0:  20%|| 310/1563 [27:31<1:47:36,  5.15s/it]
avg_loss: 4.402017116546631, avg_ce_loss: 2.4030706882476807, avg_contrast_loss: 1.9989464282989502
avg_loss: 4.409649848937988, avg_ce_loss: 2.4071826934814453, avg_contrast_loss: 2.002467155456543
avg_loss: 4.401212692260742, avg_ce_loss: 2.401099443435669, avg_contrast_loss: 2.000113010406494
avg_loss: 4.3467607498168945, avg_ce_loss: 2.370990753173828, avg_contrast_loss: 1.9757697582244873
avg_loss: 4.20611572265625, avg_ce_loss: 2.2878808975219727, avg_contrast_loss: 1.9182350635528564
avg_loss: 4.394439697265625, avg_ce_loss: 2.3946359157562256, avg_contrast_loss: 1.9998034238815308
avg_loss: 4.322721004486084, avg_ce_loss: 2.3435964584350586, avg_contrast_loss: 1.979124903678894
avg_loss: 4.277387619018555, avg_ce_loss: 2.3116490840911865, avg_contrast_loss: 1.9657386541366577
avg_loss: 4.3020853996276855, avg_ce_loss: 2.3376235961914062, avg_contrast_loss: 1.9644618034362793
avg_loss: 4.257246494293213, avg_ce_loss: 2.310964584350586, avg_contrast_loss: 1.9462817907333374
avg_loss: 4.263551235198975, avg_ce_loss: 2.311359167098999, avg_contrast_loss: 1.9521918296813965
avg_loss: 4.225615501403809, avg_ce_loss: 2.285231113433838, avg_contrast_loss: 1.9403843879699707
avg_loss: 4.147828102111816, avg_ce_loss: 2.260356903076172, avg_contrast_loss: 1.8874714374542236
avg_loss: 4.149406433105469, avg_ce_loss: 2.24245548248291, avg_contrast_loss: 1.9069507122039795
avg_loss: 4.1899495124816895, avg_ce_loss: 2.2747650146484375, avg_contrast_loss: 1.9151843786239624
avg_loss: 4.126971244812012, avg_ce_loss: 2.215627431869507, avg_contrast_loss: 1.9113435745239258
avg_loss: 4.08485221862793, avg_ce_loss: 2.1174886226654053, avg_contrast_loss: 1.967363715171814
avg_loss: 4.046802043914795, avg_ce_loss: 2.1373870372772217, avg_contrast_loss: 1.9094150066375732
avg_loss: 4.016720771789551, avg_ce_loss: 2.132936954498291, avg_contrast_loss: 1.8837833404541016
avg_loss: 3.971068859100342, avg_ce_loss: 2.051438331604004, avg_contrast_loss: 1.919630765914917
avg_loss: 4.021572589874268, avg_ce_loss: 2.062291145324707, avg_contrast_loss: 1.959281325340271
avg_loss: 3.895209789276123, avg_ce_loss: 2.006979465484619, avg_contrast_loss: 1.888230323791504
avg_loss: 3.917886734008789, avg_ce_loss: 1.9877694845199585, avg_contrast_loss: 1.9301173686981201
avg_loss: 3.919896125793457, avg_ce_loss: 2.0330605506896973, avg_contrast_loss: 1.8868354558944702
avg_loss: 3.9777393341064453, avg_ce_loss: 2.0086851119995117, avg_contrast_loss: 1.969054102897644
avg_loss: 4.012885093688965, avg_ce_loss: 2.068234920501709, avg_contrast_loss: 1.9446500539779663
avg_loss: 3.9491615295410156, avg_ce_loss: 1.985015630722046, avg_contrast_loss: 1.9641460180282593
avg_loss: 3.9621219635009766, avg_ce_loss: 1.9918642044067383, avg_contrast_loss: 1.9702577590942383
avg_loss: 3.9311814308166504, avg_ce_loss: 1.9797439575195312, avg_contrast_loss: 1.9514373540878296
avg_loss: 3.9064431190490723, avg_ce_loss: 1.9104303121566772, avg_contrast_loss: 1.9960126876831055
avg_loss: 4.000943183898926, avg_ce_loss: 1.9912567138671875, avg_contrast_loss: 2.009686231613159
avg_loss: 3.8722586631774902, avg_ce_loss: 1.981136679649353, avg_contrast_loss: 1.8911216259002686
avg_loss: 3.983362913131714, avg_ce_loss: 1.97221839427948, avg_contrast_loss: 2.0111443996429443
avg_loss: 3.871105909347534, avg_ce_loss: 1.9624946117401123, avg_contrast_loss: 1.908611536026001
avg_loss: 3.896726608276367, avg_ce_loss: 1.9450734853744507, avg_contrast_loss: 1.951653242111206
avg_loss: 3.8629794120788574, avg_ce_loss: 1.9632089138031006, avg_contrast_loss: 1.8997706174850464
avg_loss: 3.823795795440674, avg_ce_loss: 1.9268401861190796, avg_contrast_loss: 1.8969554901123047
avg_loss: 3.936664581298828, avg_ce_loss: 1.9481184482574463, avg_contrast_loss: 1.98854660987854
avg_loss: 3.9340949058532715, avg_ce_loss: 2.031977891921997, avg_contrast_loss: 1.9021174907684326
avg_loss: 3.838222026824951, avg_ce_loss: 1.9475120306015015, avg_contrast_loss: 1.890709638595581
avg_loss: 3.9507930278778076, avg_ce_loss: 1.9182300567626953, avg_contrast_loss: 2.0325632095336914
avg_loss: 3.7793128490448, avg_ce_loss: 1.8997544050216675, avg_contrast_loss: 1.8795583248138428
avg_loss: 3.754201889038086, avg_ce_loss: 1.8509128093719482, avg_contrast_loss: 1.9032891988754272
avg_loss: 3.7948994636535645, avg_ce_loss: 1.8856983184814453, avg_contrast_loss: 1.90920090675354
avg_loss: 3.8048949241638184, avg_ce_loss: 1.899552583694458, avg_contrast_loss: 1.9053423404693604
avg_loss: 3.8138575553894043, avg_ce_loss: 1.8967869281768799, avg_contrast_loss: 1.917070746421814
avg_loss: 3.8524138927459717, avg_ce_loss: 1.8807790279388428, avg_contrast_loss: 1.971634864807129
avg_loss: 3.7643067836761475, avg_ce_loss: 1.823503851890564, avg_contrast_loss: 1.940803050994873
avg_loss: 3.790935516357422, avg_ce_loss: 1.8502771854400635, avg_contrast_loss: 1.9406583309173584
avg_loss: 3.6956472396850586, avg_ce_loss: 1.8206762075424194, avg_contrast_loss: 1.87497079372406
avg_loss: 3.7336606979370117, avg_ce_loss: 1.810227632522583, avg_contrast_loss: 1.9234333038330078
avg_loss: 3.713848114013672, avg_ce_loss: 1.8168342113494873, avg_contrast_loss: 1.8970143795013428
avg_loss: 3.7583775520324707, avg_ce_loss: 1.8154863119125366, avg_contrast_loss: 1.942891001701355
avg_loss: 3.779728651046753, avg_ce_loss: 1.8308442831039429, avg_contrast_loss: 1.94888436794281
avg_loss: 3.701540946960449, avg_ce_loss: 1.7656638622283936, avg_contrast_loss: 1.9358772039413452
avg_loss: 3.685161590576172, avg_ce_loss: 1.787329077720642, avg_contrast_loss: 1.8978326320648193
avg_loss: 3.714693784713745, avg_ce_loss: 1.807607650756836, avg_contrast_loss: 1.9070861339569092
avg_loss: 3.847835063934326, avg_ce_loss: 1.9069932699203491, avg_contrast_loss: 1.9408419132232666
avg_loss: 3.6552131175994873, avg_ce_loss: 1.7962217330932617, avg_contrast_loss: 1.8589915037155151
avg_loss: 3.7737443447113037, avg_ce_loss: 1.8430732488632202, avg_contrast_loss: 1.9306710958480835
avg_loss: 3.679036855697632, avg_ce_loss: 1.8150237798690796, avg_contrast_loss: 1.8640129566192627
avg_loss: 3.821408271789551, avg_ce_loss: 1.864503264427185, avg_contrast_loss: 1.9569048881530762
avg_loss: 3.620462417602539, avg_ce_loss: 1.764158010482788, avg_contrast_loss: 1.8563048839569092
avg_loss: 3.689394474029541, avg_ce_loss: 1.7707030773162842, avg_contrast_loss: 1.9186913967132568
avg_loss: 3.655454158782959, avg_ce_loss: 1.7817142009735107, avg_contrast_loss: 1.8737397193908691
avg_loss: 3.752835988998413, avg_ce_loss: 1.8107308149337769, avg_contrast_loss: 1.9421050548553467
avg_loss: 3.7140119075775146, avg_ce_loss: 1.7936341762542725, avg_contrast_loss: 1.9203777313232422
avg_loss: 3.7042670249938965, avg_ce_loss: 1.8356096744537354, avg_contrast_loss: 1.8686573505401611
