EP_train_inference:0:  15%|| 310/2084 [18:55<1:46:04,  3.59s/it]
avg_loss: 4.415920734405518, avg_ce_loss: 2.4112350940704346, avg_contrast_loss: 2.004685640335083
avg_loss: 4.413087844848633, avg_ce_loss: 2.408684730529785, avg_contrast_loss: 2.0044026374816895
avg_loss: 4.409465312957764, avg_ce_loss: 2.4054346084594727, avg_contrast_loss: 2.00403094291687
avg_loss: 4.41435432434082, avg_ce_loss: 2.4106359481811523, avg_contrast_loss: 2.0037178993225098
avg_loss: 4.4122467041015625, avg_ce_loss: 2.408388614654541, avg_contrast_loss: 2.0038580894470215
avg_loss: 4.411890029907227, avg_ce_loss: 2.408379554748535, avg_contrast_loss: 2.003509998321533
avg_loss: 4.410529136657715, avg_ce_loss: 2.406627893447876, avg_contrast_loss: 2.003901243209839
avg_loss: 4.412599563598633, avg_ce_loss: 2.4092211723327637, avg_contrast_loss: 2.0033786296844482
avg_loss: 4.412309169769287, avg_ce_loss: 2.4089574813842773, avg_contrast_loss: 2.0033514499664307
avg_loss: 4.409860610961914, avg_ce_loss: 2.406463623046875, avg_contrast_loss: 2.003396987915039
avg_loss: 4.40929651260376, avg_ce_loss: 2.4061105251312256, avg_contrast_loss: 2.003185987472534
avg_loss: 4.408524513244629, avg_ce_loss: 2.4055728912353516, avg_contrast_loss: 2.0029520988464355
avg_loss: 4.4161553382873535, avg_ce_loss: 2.4133694171905518, avg_contrast_loss: 2.0027856826782227
avg_loss: 4.410418510437012, avg_ce_loss: 2.4075229167938232, avg_contrast_loss: 2.0028951168060303
avg_loss: 4.411510467529297, avg_ce_loss: 2.408888578414917, avg_contrast_loss: 2.002622127532959
avg_loss: 4.411550045013428, avg_ce_loss: 2.4089436531066895, avg_contrast_loss: 2.0026063919067383
avg_loss: 4.415283203125, avg_ce_loss: 2.412850856781006, avg_contrast_loss: 2.002431869506836
avg_loss: 4.414120197296143, avg_ce_loss: 2.4118452072143555, avg_contrast_loss: 2.002275228500366
avg_loss: 4.408583641052246, avg_ce_loss: 2.4062328338623047, avg_contrast_loss: 2.0023508071899414
avg_loss: 4.410881519317627, avg_ce_loss: 2.408660888671875, avg_contrast_loss: 2.002220630645752
avg_loss: 4.407956123352051, avg_ce_loss: 2.4058055877685547, avg_contrast_loss: 2.0021510124206543
